DIST_NO,ITEM_NO,QTY_PER_SELL_UOM,E3_YEAR,E3_4WK_PERIOD,PERIOD_START,QTY,HITS,REPLACEMENT_ITEM
7,1015241,1,2016,1,12/20/2015 12:00:00 AM,22384,7982,Y
7,1015241,1,2016,2,1/17/2016 12:00:00 AM,24335,8678,Y
7,1015241,1,2016,3,2/14/2016 12:00:00 AM,24691,8817,Y
7,1015241,1,2016,4,3/13/2016 12:00:00 AM,29842,10658,Y
7,1015241,1,2016,5,4/10/2016 12:00:00 AM,28929,10295,Y
7,1015241,1,2016,6,5/8/2016 12:00:00 AM,31926,11412,Y
7,1015241,1,2016,7,6/5/2016 12:00:00 AM,32170,11423,Y
7,1015241,1,2016,8,7/3/2016 12:00:00 AM,30187,10816,
7,1015241,1,2016,9,7/31/2016 12:00:00 AM,33217,11825,
7,1015241,1,2016,10,8/28/2016 12:00:00 AM,30970,11091,
7,1015241,1,2016,11,9/25/2016 12:00:00 AM,35254,12576,
7,1015241,1,2016,12,10/23/2016 12:00:00 AM,36350,12987,
7,1015241,1,2016,13,11/20/2016 12:00:00 AM,38722,13719,
7,1015241,1,2017,1,12/18/2016 12:00:00 AM,36186,12886,
7,1015241,1,2017,2,1/15/2017 12:00:00 AM,35765,12723,
7,1015241,1,2017,3,2/12/2017 12:00:00 AM,39298,13964,
7,1015241,1,2017,4,3/12/2017 12:00:00 AM,40794,14548,
7,1015241,1,2017,5,4/9/2017 12:00:00 AM,37390,13427,
7,1015241,1,2017,6,5/7/2017 12:00:00 AM,35380,12683,
7,1015241,1,2017,7,6/4/2017 12:00:00 AM,42780,15294,
7,1015241,1,2017,8,7/2/2017 12:00:00 AM,40917,14596,
7,1015241,1,2017,9,7/30/2017 12:00:00 AM,38882,13858,
7,1015241,1,2017,10,8/27/2017 12:00:00 AM,43305,15350,
7,1015241,1,2017,11,9/24/2017 12:00:00 AM,49971,17801,
7,1015241,1,2017,12,10/22/2017 12:00:00 AM,47967,16957,
7,1015241,1,2017,13,11/19/2017 12:00:00 AM,45065,15816,
7,1015241,1,2018,1,12/24/2017 12:00:00 AM,45626,15893,
7,1015241,1,2018,2,1/21/2018 12:00:00 AM,45268,15747,
